eyy,Load (kN) (N)
0.039844532,387.5221283
0.04067909,388.8174277
0.041157688,390.1473154
0.041977521,392.0757442
0.042848759,393.5638725
0.04349749,394.6094978
0.044317475,396.0131085
0.045022824,397.542887
0.045926421,399.0104613
0.046646882,400.188985
0.047378839,401.3911105
0.048302568,402.7392646
0.048922113,404.2186308
0.049552323,405.4299591
0.050413863,406.5120033
0.051852458,407.6226976
0.05236396,409.0343696
0.052847916,410.2493535
0.05395302,411.4536329
0.054766155,412.8249555
0.055700235,414.049561
0.056223569,415.1955904
0.057003707,416.3024459
0.057770594,417.2660249
0.058575151,418.2965556
0.059358102,419.5411104
0.060339497,420.4130314
0.061114655,421.4502438
0.061779909,422.8114382
0.062971585,423.7457874
0.063433126,424.3549825
0.064398466,425.2418792
0.065333256,426.2601918
0.065973242,427.2185145
0.066621684,428.3526386
0.067567739,429.720061
0.068761046,430.2058529
0.069314461,430.8140692
0.069992704,431.9488103
0.07104949,432.488071
0.071598788,432.8453618
0.072091574,433.8919835
0.072990221,434.9412608
0.074115562,436.0079362
0.074615233,436.4188304
0.075670975,436.8371104
0.076368136,437.543007
0.077340792,438.2854337
0.077994869,439.0949306
0.078779867,439.9974309
0.0797903,440.9349354
0.080816297,441.8141814
0.081441927,442.3516356
0.08256212,442.7726028
0.083171547,443.8788497
0.083844639,444.6321223
0.084644689,445.2410077
0.085826513,445.7021396
0.086540195,446.3489522
0.087290698,447.2187886
0.088170707,447.8940884
0.089123788,448.5000014
0.089806631,449.028036
0.090920528,449.5589616
0.09147184,450.0929574
0.092135065,450.4380141
0.093546495,450.7931701
0.094113724,451.4796885
0.095041379,452.050953
0.09565203,452.5677528
0.096706613,453.1749827
0.097466036,454.0314546
0.098159688,454.740142
0.099374254,454.915638
0.100156281,455.3302881
0.100816477,455.8517909
0.101841693,456.3591955
0.102863945,456.9268756
0.103632291,457.4998269
0.104195183,457.9947085
0.105171802,458.4019748
0.106446456,458.6214413
0.10703435,458.8493605
0.107980131,459.0819924
0.108989161,459.8539584
0.109896026,460.7191841
0.11060375,461.5547981
0.111569644,462.1164949
0.112699685,462.433439
0.113482295,462.5057494
0.114336568,462.911909
0.115481012,463.3649317
0.116284271,463.9284082
0.117125302,464.4273825
0.117772595,464.7245393
0.118781317,464.7786332
0.119596314,465.0126009
0.120677643,465.3640046
0.121631462,465.8503946
0.122488391,466.3574771
0.123214661,466.8651396
0.124217873,467.0797974
0.12512793,467.2728514
0.12587528,467.6134208
0.126989505,467.9459143
0.127797954,468.2801345
0.128491047,468.8161368
0.129506593,469.2144022
0.130442808,469.2651426
0.131365786,469.4697878
0.132056344,470.0121953
0.132986679,470.3955929
0.134260308,470.5992446
0.134706001,471.0352549
0.135846959,471.2705949
0.136896794,471.216526
0.137857153,471.5220555
0.138606278,471.8386525
0.139516977,472.2667649
0.140556708,472.6
0.141529226,472.6
0.142472795,472.7204147
0.143428321,473.0715862
0.144275424,473.719784
0.144944353,474.2064967
0.14623084,474.4164679
0.147106256,474.5606314
